,Name,GLB ifmap(KiB),GLB filter(KiB),GLB psum(KiB),GLB total(KiB),MACs (G),GLB access (MiB),Dram access (MiB),n,e,r,q,p,t,m,rt,latency
0,Alexnet.conv3,10.546875,1.6875,84.5,96.734375,0.601915392,16.43212890625,1.31103515625,4,13,3,4,16,1,128,0,378326016.0
1,Alexnet.conv3,10.546875,1.6875,84.5,96.734375,0.603193344,16.43212890625,1.31103515625,4,13,4,3,16,1,128,0,378326016.0
2,Alexnet.conv3,7.03125,2.25,84.5,93.78125,0.601915392,19.07666015625,1.31103515625,4,13,2,4,16,2,128,0,394963968.0
3,Alexnet.conv3,7.91015625,1.265625,84.5,93.67578125,0.603193344,19.952962239583332,1.31103515625,4,13,3,3,16,1,128,0,400477184.0
4,Alexnet.conv3,7.03125,1.125,84.5,92.65625,0.601915392,21.71337890625,1.31103515625,4,13,2,4,16,1,128,0,411552768.0
5,Alexnet.conv3,7.03125,1.125,84.5,92.65625,0.605749248,21.71337890625,1.31103515625,4,13,4,2,16,1,128,0,411552768.0
6,Alexnet.conv3,5.2734375,1.6875,84.5,91.4609375,0.603193344,24.35791015625,1.31103515625,4,13,2,3,16,2,128,0,428190720.0
7,Alexnet.conv3,5.2734375,0.84375,84.5,90.6171875,0.603193344,26.99462890625,1.31103515625,4,13,2,3,16,1,128,0,444779520.0
8,Alexnet.conv3,5.2734375,0.84375,84.5,90.6171875,0.605749248,26.99462890625,1.31103515625,4,13,3,2,16,1,128,0,444779520.0
9,Alexnet.conv3,3.515625,2.25,84.5,90.265625,0.601915392,33.60205078125,1.31103515625,4,13,1,4,16,4,128,0,486349824.0
10,Alexnet.conv3,3.515625,1.6875,84.5,89.703125,0.601915392,34.04150390625,1.31103515625,4,13,1,4,16,3,128,0,489114624.0
11,Alexnet.conv3,3.515625,1.125,84.5,89.140625,0.601915392,34.92041015625,1.31103515625,4,13,1,4,16,2,128,0,494644224.0
12,Alexnet.conv3,3.515625,1.125,84.5,89.140625,0.605749248,34.92041015625,1.31103515625,4,13,2,2,16,2,128,0,494644224.0
13,Alexnet.conv3,2.63671875,1.6875,84.5,88.82421875,0.603193344,44.16455078125,1.31103515625,4,13,1,3,16,4,128,0,552803328.0
14,Alexnet.conv3,3.515625,0.5625,84.5,88.578125,0.605749248,37.55712890625,1.31103515625,4,13,2,2,16,1,128,0,511233024.0
15,Alexnet.conv3,3.515625,0.5625,84.5,88.578125,0.601915392,37.55712890625,1.31103515625,4,13,1,4,16,1,128,0,511233024.0
16,Alexnet.conv3,3.515625,0.5625,84.5,88.578125,0.61341696,37.55712890625,1.31103515625,4,13,4,1,16,1,128,0,511233024.0
17,Alexnet.conv3,2.63671875,1.265625,84.5,88.40234375,0.603193344,44.60400390625,1.31103515625,4,13,1,3,16,3,128,0,555568128.0
18,Alexnet.conv3,2.63671875,0.84375,84.5,87.98046875,0.603193344,45.48291015625,1.31103515625,4,13,1,3,16,2,128,0,561097728.0
19,Alexnet.conv3,2.63671875,0.421875,84.5,87.55859375,0.603193344,48.11962890625,1.31103515625,4,13,1,3,16,1,128,0,577686528.0
20,Alexnet.conv3,2.63671875,0.421875,84.5,87.55859375,0.61341696,48.11962890625,1.31103515625,4,13,3,1,16,1,128,0,577686528.0
21,Alexnet.conv3,1.7578125,1.125,84.5,87.3828125,0.605749248,65.28955078125,1.31103515625,4,13,1,2,16,4,128,0,685710336.0
22,Alexnet.conv3,1.7578125,0.84375,84.5,87.1015625,0.605749248,65.72900390625,1.31103515625,4,13,1,2,16,3,128,0,688475136.0
23,Alexnet.conv3,1.7578125,0.5625,84.5,86.8203125,0.61341696,66.60791015625,1.31103515625,4,13,2,1,16,2,128,0,694004736.0
24,Alexnet.conv3,1.7578125,0.5625,84.5,86.8203125,0.605749248,66.60791015625,1.31103515625,4,13,1,2,16,2,128,0,694004736.0
25,Alexnet.conv3,1.7578125,0.28125,84.5,86.5390625,0.61341696,69.24462890625,1.31103515625,4,13,2,1,16,1,128,0,710593536.0
26,Alexnet.conv3,1.7578125,0.28125,84.5,86.5390625,0.605749248,69.24462890625,1.31103515625,4,13,1,2,16,1,128,0,710593536.0
27,Alexnet.conv3,0.87890625,0.5625,84.5,85.94140625,0.61341696,128.66455078125,1.31103515625,4,13,1,1,16,4,128,0,1084431360.0
28,Alexnet.conv3,0.87890625,0.421875,84.5,85.80078125,0.61341696,129.10400390625,1.31103515625,4,13,1,1,16,3,128,0,1087196160.0
29,Alexnet.conv3,0.87890625,0.28125,84.5,85.66015625,0.61341696,129.98291015625,1.31103515625,4,13,1,1,16,2,128,0,1092725760.0
30,Alexnet.conv3,0.87890625,0.140625,84.5,85.51953125,0.61341696,132.61962890625,1.31103515625,4,13,1,1,16,1,128,0,1109314560.0
31,Alexnet.conv3,14.0625,2.25,63.375,79.6875,0.601915392,13.79150390625,1.31103515625,4,13,4,4,16,1,96,0,361712640.0
32,Alexnet.conv3,10.546875,1.6875,63.375,75.609375,0.603193344,16.43212890625,1.31103515625,4,13,4,3,16,1,96,0,378326016.0
33,Alexnet.conv3,10.546875,1.6875,63.375,75.609375,0.601915392,16.43212890625,1.31103515625,4,13,3,4,16,1,96,0,378326016.0
34,Alexnet.conv3,7.03125,2.25,63.375,72.65625,0.601915392,19.07666015625,1.31103515625,4,13,2,4,16,2,96,0,394963968.0
35,Alexnet.conv3,7.91015625,1.265625,63.375,72.55078125,0.603193344,19.952962239583332,1.31103515625,4,13,3,3,16,1,96,0,400477184.0
36,Alexnet.conv3,7.03125,1.125,63.375,71.53125,0.601915392,21.71337890625,1.31103515625,4,13,2,4,16,1,96,0,411552768.0
37,Alexnet.conv3,7.03125,1.125,63.375,71.53125,0.605749248,21.71337890625,1.31103515625,4,13,4,2,16,1,96,0,411552768.0
38,Alexnet.conv3,5.2734375,1.6875,63.375,70.3359375,0.603193344,24.35791015625,1.31103515625,4,13,2,3,16,2,96,0,428190720.0
39,Alexnet.conv3,5.2734375,0.84375,63.375,69.4921875,0.603193344,26.99462890625,1.31103515625,4,13,2,3,16,1,96,0,444779520.0
40,Alexnet.conv3,5.2734375,0.84375,63.375,69.4921875,0.605749248,26.99462890625,1.31103515625,4,13,3,2,16,1,96,0,444779520.0
41,Alexnet.conv3,3.515625,2.25,63.375,69.140625,0.601915392,33.60205078125,1.31103515625,4,13,1,4,16,4,96,0,486349824.0
42,Alexnet.conv3,3.515625,1.6875,63.375,68.578125,0.601915392,34.04150390625,1.31103515625,4,13,1,4,16,3,96,0,489114624.0
43,Alexnet.conv3,3.515625,1.125,63.375,68.015625,0.601915392,34.92041015625,1.31103515625,4,13,1,4,16,2,96,0,494644224.0
44,Alexnet.conv3,3.515625,1.125,63.375,68.015625,0.605749248,34.92041015625,1.31103515625,4,13,2,2,16,2,96,0,494644224.0
45,Alexnet.conv3,2.63671875,1.6875,63.375,67.69921875,0.603193344,44.16455078125,1.31103515625,4,13,1,3,16,4,96,0,552803328.0
46,Alexnet.conv3,3.515625,0.5625,63.375,67.453125,0.61341696,37.55712890625,1.31103515625,4,13,4,1,16,1,96,0,511233024.0
47,Alexnet.conv3,3.515625,0.5625,63.375,67.453125,0.605749248,37.55712890625,1.31103515625,4,13,2,2,16,1,96,0,511233024.0
48,Alexnet.conv3,3.515625,0.5625,63.375,67.453125,0.601915392,37.55712890625,1.31103515625,4,13,1,4,16,1,96,0,511233024.0
49,Alexnet.conv3,2.63671875,1.265625,63.375,67.27734375,0.603193344,44.60400390625,1.31103515625,4,13,1,3,16,3,96,0,555568128.0
50,Alexnet.conv3,2.63671875,0.84375,63.375,66.85546875,0.603193344,45.48291015625,1.31103515625,4,13,1,3,16,2,96,0,561097728.0
51,Alexnet.conv3,2.63671875,0.421875,63.375,66.43359375,0.61341696,48.11962890625,1.31103515625,4,13,3,1,16,1,96,0,577686528.0
52,Alexnet.conv3,2.63671875,0.421875,63.375,66.43359375,0.603193344,48.11962890625,1.31103515625,4,13,1,3,16,1,96,0,577686528.0
53,Alexnet.conv3,1.7578125,1.125,63.375,66.2578125,0.605749248,65.28955078125,1.31103515625,4,13,1,2,16,4,96,0,685710336.0
54,Alexnet.conv3,1.7578125,0.84375,63.375,65.9765625,0.605749248,65.72900390625,1.31103515625,4,13,1,2,16,3,96,0,688475136.0
55,Alexnet.conv3,1.7578125,0.5625,63.375,65.6953125,0.605749248,66.60791015625,1.31103515625,4,13,1,2,16,2,96,0,694004736.0
56,Alexnet.conv3,1.7578125,0.5625,63.375,65.6953125,0.61341696,66.60791015625,1.31103515625,4,13,2,1,16,2,96,0,694004736.0
57,Alexnet.conv3,1.7578125,0.28125,63.375,65.4140625,0.605749248,69.24462890625,1.31103515625,4,13,1,2,16,1,96,0,710593536.0
58,Alexnet.conv3,1.7578125,0.28125,63.375,65.4140625,0.61341696,69.24462890625,1.31103515625,4,13,2,1,16,1,96,0,710593536.0
59,Alexnet.conv3,0.87890625,0.5625,63.375,64.81640625,0.61341696,128.66455078125,1.31103515625,4,13,1,1,16,4,96,0,1084431360.0
60,Alexnet.conv3,0.87890625,0.421875,63.375,64.67578125,0.61341696,129.10400390625,1.31103515625,4,13,1,1,16,3,96,0,1087196160.0
61,Alexnet.conv3,0.87890625,0.28125,63.375,64.53515625,0.61341696,129.98291015625,1.31103515625,4,13,1,1,16,2,96,0,1092725760.0
62,Alexnet.conv3,0.87890625,0.140625,63.375,64.39453125,0.61341696,132.61962890625,1.31103515625,4,13,1,1,16,1,96,0,1109314560.0
63,Alexnet.conv3,14.0625,2.25,42.25,58.5625,0.601915392,13.79150390625,1.31103515625,4,13,4,4,16,1,64,0,361712640.0
64,Alexnet.conv3,10.546875,1.6875,42.25,54.484375,0.603193344,16.43212890625,1.31103515625,4,13,4,3,16,1,64,0,378326016.0
65,Alexnet.conv3,10.546875,1.6875,42.25,54.484375,0.601915392,16.43212890625,1.31103515625,4,13,3,4,16,1,64,0,378326016.0
66,Alexnet.conv3,7.03125,2.25,42.25,51.53125,0.601915392,19.07666015625,1.31103515625,4,13,2,4,16,2,64,0,394963968.0
67,Alexnet.conv3,7.91015625,1.265625,42.25,51.42578125,0.603193344,19.952962239583332,1.31103515625,4,13,3,3,16,1,64,0,400477184.0
68,Alexnet.conv3,7.03125,1.125,42.25,50.40625,0.601915392,21.71337890625,1.31103515625,4,13,2,4,16,1,64,0,411552768.0
69,Alexnet.conv3,7.03125,1.125,42.25,50.40625,0.605749248,21.71337890625,1.31103515625,4,13,4,2,16,1,64,0,411552768.0
70,Alexnet.conv3,5.2734375,1.6875,42.25,49.2109375,0.603193344,24.35791015625,1.31103515625,4,13,2,3,16,2,64,0,428190720.0
71,Alexnet.conv3,5.2734375,0.84375,42.25,48.3671875,0.605749248,26.99462890625,1.31103515625,4,13,3,2,16,1,64,0,444779520.0
72,Alexnet.conv3,5.2734375,0.84375,42.25,48.3671875,0.603193344,26.99462890625,1.31103515625,4,13,2,3,16,1,64,0,444779520.0
73,Alexnet.conv3,3.515625,2.25,42.25,48.015625,0.601915392,33.60205078125,1.31103515625,4,13,1,4,16,4,64,0,486349824.0
74,Alexnet.conv3,14.0625,2.25,31.6875,48.0,0.601915392,13.79150390625,1.31103515625,4,13,4,4,16,1,48,0,361712640.0
75,Alexnet.conv3,3.515625,1.6875,42.25,47.453125,0.601915392,34.04150390625,1.31103515625,4,13,1,4,16,3,64,0,489114624.0
76,Alexnet.conv3,3.515625,1.125,42.25,46.890625,0.605749248,34.92041015625,1.31103515625,4,13,2,2,16,2,64,0,494644224.0
77,Alexnet.conv3,3.515625,1.125,42.25,46.890625,0.601915392,34.92041015625,1.31103515625,4,13,1,4,16,2,64,0,494644224.0
78,Alexnet.conv3,2.63671875,1.6875,42.25,46.57421875,0.603193344,44.16455078125,1.31103515625,4,13,1,3,16,4,64,0,552803328.0
79,Alexnet.conv3,3.515625,0.5625,42.25,46.328125,0.601915392,37.55712890625,1.31103515625,4,13,1,4,16,1,64,0,511233024.0
80,Alexnet.conv3,3.515625,0.5625,42.25,46.328125,0.605749248,37.55712890625,1.31103515625,4,13,2,2,16,1,64,0,511233024.0
81,Alexnet.conv3,3.515625,0.5625,42.25,46.328125,0.61341696,37.55712890625,1.31103515625,4,13,4,1,16,1,64,0,511233024.0
82,Alexnet.conv3,2.63671875,1.265625,42.25,46.15234375,0.603193344,44.60400390625,1.31103515625,4,13,1,3,16,3,64,0,555568128.0
83,Alexnet.conv3,2.63671875,0.84375,42.25,45.73046875,0.603193344,45.48291015625,1.31103515625,4,13,1,3,16,2,64,0,561097728.0
84,Alexnet.conv3,2.63671875,0.421875,42.25,45.30859375,0.603193344,48.11962890625,1.31103515625,4,13,1,3,16,1,64,0,577686528.0
85,Alexnet.conv3,2.63671875,0.421875,42.25,45.30859375,0.61341696,48.11962890625,1.31103515625,4,13,3,1,16,1,64,0,577686528.0
86,Alexnet.conv3,1.7578125,1.125,42.25,45.1328125,0.605749248,65.28955078125,1.31103515625,4,13,1,2,16,4,64,0,685710336.0
87,Alexnet.conv3,1.7578125,0.84375,42.25,44.8515625,0.605749248,65.72900390625,1.31103515625,4,13,1,2,16,3,64,0,688475136.0
88,Alexnet.conv3,1.7578125,0.5625,42.25,44.5703125,0.605749248,66.60791015625,1.31103515625,4,13,1,2,16,2,64,0,694004736.0
89,Alexnet.conv3,1.7578125,0.5625,42.25,44.5703125,0.61341696,66.60791015625,1.31103515625,4,13,2,1,16,2,64,0,694004736.0
90,Alexnet.conv3,1.7578125,0.28125,42.25,44.2890625,0.605749248,69.24462890625,1.31103515625,4,13,1,2,16,1,64,0,710593536.0
91,Alexnet.conv3,1.7578125,0.28125,42.25,44.2890625,0.61341696,69.24462890625,1.31103515625,4,13,2,1,16,1,64,0,710593536.0
92,Alexnet.conv3,10.546875,1.6875,31.6875,43.921875,0.601915392,16.43212890625,1.31103515625,4,13,3,4,16,1,48,0,378326016.0
93,Alexnet.conv3,10.546875,1.6875,31.6875,43.921875,0.603193344,16.43212890625,1.31103515625,4,13,4,3,16,1,48,0,378326016.0
94,Alexnet.conv3,0.87890625,0.5625,42.25,43.69140625,0.61341696,128.66455078125,1.31103515625,4,13,1,1,16,4,64,0,1084431360.0
